MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Gas,0,-0.012112502,-0.03109653,-0.046381394,-0.055195941,-0.065631111
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Gas,0,-0.093370397,-0.074613861,-0.050859007,-0.056923799,-0.064385043
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Gas,-0.200155267,-0.211854801,-0.26672227,-0.298269701,-0.297718498,-0.288198101
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Geothermal,0.0375,0.09375,0.066666667,0.018518519,0,0
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Geothermal,-0.05,0.03125,0.066666667,0.027777778,0,0
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Geothermal,-0.0125,0,0.019047619,0.009259259,0,0
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Geothermal,-0.025,-0.03125,-0.019047619,-0.009259259,0,0
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Geothermal,0.4,0.166666667,0.038095238,-0.009259259,0,0
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Hydro,0.066582118,0.272423229,0.535455861,0.717160729,0.716240182,0.588112375
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Hydro,0.023145212,0.161751292,0.351374819,0.528963829,0.620977958,0.572091943
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Hydro,0.015535828,0.033140772,0.059044863,0.079412565,0.10742336,0.142326445
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Hydro,-0.005707039,-0.005776832,-0.004341534,-0.001903726,-0.000253357,0.000928721
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Hydro,0.319594166,0.402858012,0.459334298,0.495784607,0.515834811,0.489203622
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Nuclear,-0.178571429,-0.283105023,-0.443365696,-0.622807018,-0.765140325,-0.856565657
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Nuclear,-0.196428571,-0.310502283,-0.45631068,-0.614035088,-0.751846381,-0.846464646
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Nuclear,-0.255952381,-0.465753425,-0.647249191,-0.776315789,-0.862629247,-0.919191919
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Nuclear,-0.130952381,-0.246575342,-0.359223301,-0.447368421,-0.515509601,-0.565656566
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Nuclear,1.428571429,1.96347032,2.126213592,1.978070175,1.644017725,1.214141414
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Nuclear,0.378796969,0.39269659,0.353311862,0.397222441,0.468600475,0.526888397
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Nuclear,0.218621987,0.276872213,0.278765973,0.30887824,0.342315793,0.357797452
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Nuclear,0,-0.038411959,-0.052782877,-0.062164616,-0.072267224,-0.087344287
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Nuclear,0,-0.085889721,-0.072106331,-0.050029241,-0.0574028,-0.065619826
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Nuclear,0.107712681,0.125401248,0.185560313,0.198991584,0.183480103,0.159777659
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Oil,-0.314741317,-0.487417883,-0.602939442,-0.698644598,-0.76796046,-0.818008614
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Oil,-0.009300389,-0.050193563,-0.155282499,-0.260791266,-0.365114416,-0.44419403
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Oil,0,0.222849689,0.239665679,0.234865957,0.234607582,0.269511266
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Oil,0,0.930578254,0.668460932,0.430362593,0.481251638,0.588744905
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Oil,-0.041358719,-0.014966414,-0.017943527,0.0201828,0.074642618,0.148371205
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,6,29,85,199,201.5,373.5
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,2,11,38,51.5,122.5
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,1
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,0
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,3
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0.542376156,0.803814707,0.95465815,1.226041934,1.538975898,1.834600484
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0.345660968,0.488275505,0.624943936,0.814080769,1.025982786,1.218697909
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,-0.049225597,0.00964159,0.05664931,0.092758924,0.119722826
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0,-0.086529792,-0.072275991,-0.049724546,-0.056913645,-0.065178418
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Solar|CSP,0.212269356,0.324333014,0.461707358,0.51627605,0.521003517,0.562298769
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Solar|PV,7.5,46.25,198.6666667,157.75,60.84848485,23.65789474
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Solar|PV,5.5,32,139.6666667,121.375,52.84848485,22.57894737
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|PV,0,0.5,5.666666667,7.375,4.939393939,3.307017544
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|PV,0,0,0.333333333,0.375,0.242424242,0.192982456
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Solar|PV,17.5,31.75,77.33333333,53.375,23.3030303,11.23684211
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Solar|PV,-0.000000443,-0.00000095,-0.00000158,0.209012473,0.890847654,1.868848172
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Solar|PV,-0.000000253,-0.00000057,-0.00000108,-0.00000177,0.464972661,1.164032106
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|PV,0,6.33E-08,0,-0.000000127,-0.000000253,0.060585566
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Solar|PV,0,0.000000127,0.000000127,0.000000127,0.000000127,0.000000253
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Solar|PV,-0.000000127,-0.00000038,-0.00000076,-0.00000114,0.209660168,0.644135946
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Wind,0.435393258,1.08952381,1.546811398,1.717871486,1.603162651,1.394431555
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Wind,0.292134831,0.725714286,1.065128901,1.258032129,1.280873494,1.1774942
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Wind,0.070224719,0.11047619,0.149253731,0.190763052,0.213855422,0.232018561
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Wind,-0.028089888,-0.03047619,-0.03256445,-0.030120482,-0.026355422,-0.019141531
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Wind,1.396067416,1.36,1.203527815,1.034136546,0.88253012,0.768561485
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Wind,0.001217321,0.002006567,0.002708146,0.003442782,0.137618632,0.551554472
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Wind,0.001217302,0.001932683,0.002403289,0.002907406,0.003403147,0.260332284
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Wind,0,0,0.0000704,0.000329194,0.000690362,0.001087993
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Wind,0,0,0.00000366,0.00000729,0.00000445,0.00000373
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Wind,0.002080669,0.003844796,0.005327239,0.006343108,0.006995351,0.024410409
