MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Gas,-0.263375166,-0.409957304,-0.4158571,-0.417206269,-0.432786604,-0.45789015
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Gas,0,-0.383741516,-0.403490709,-0.416740032,-0.423365652,-0.427851918
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Gas,0,0.001809059,0.000171054,0.000204428,0.000186136,-0.001370477
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Gas,-0.431060904,-0.513870095,-0.496591789,-0.445565627,-0.440523573,-0.420034495
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Geothermal,1.947368421,1.642857143,1.036363636,0.466666667,0.108910891,-0.008928571
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Geothermal,1.947368421,1.642857143,1.036363636,0.453333333,0.108910891,-0.008928571
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Geothermal,1.289473684,1.642857143,1.036363636,0.453333333,0.108910891,0
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Geothermal,0.078947368,0.119047619,0.054545455,0.026666667,-0.00990099,0
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Geothermal,1.947368421,1.642857143,1.036363636,0.466666667,0.108910891,-0.017857143
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Hydro,0.697061803,1.040816327,1.288248337,1.357688113,1.236068896,1.015138023
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Hydro,0.70212766,1.015037594,1.257206208,1.340239913,1.219858156,0.982190561
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Hydro,0.184397163,0.326530612,0.458980044,0.535441658,0.555217832,0.50667854
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Hydro,0,-0.002148228,-0.005543237,-0.010905125,-0.012158055,-0.005342832
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Hydro,0.770010132,1.124597207,1.344789357,1.355507088,1.188449848,0.912733749
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Nuclear,0.079624478,0.330261137,0.702153596,1.046736503,1.255568581,1.247248716
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Nuclear,0.058414465,0.242703533,0.52173913,0.80902498,1.03985932,1.12325752
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Nuclear,0.045897079,0.152841782,0.283624543,0.379129734,0.408753419,0.344460748
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Nuclear,-0.002086231,-0.011136713,-0.027224705,-0.046736503,-0.067995311,-0.087674248
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Nuclear,0.211404729,0.576804916,1.093051605,1.592667204,1.988276671,2.183785767
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Nuclear,0.262834179,0.278481664,0.300410044,0.2851438,0.257052741,0.222906604
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Nuclear,0.128631477,0.211683363,0.226344664,0.225781214,0.20690387,0.18317566
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Nuclear,0,0.161824612,0.191802056,0.187423125,0.180044028,0.162984645
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Nuclear,0,-0.001780862,-0.002496401,-0.001673086,-0.000777784,-0.002658417
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Nuclear,0.068507238,0.081070993,0.113847435,0.227959153,0.248947559,0.244579157
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Oil,-0.237873644,-0.411385115,-0.530037775,-0.650454689,-0.745046273,-0.811685658
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Oil,-0.011932693,-0.004828821,-0.104194714,-0.219982408,-0.34462208,-0.440107422
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Oil,0,0.013718228,0.064447378,0.073810624,0.090832669,0.139515074
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Oil,0,-0.096200387,-0.023706768,0.000441845,0.030303283,0.15300706
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Oil,-0.243008729,-0.243152524,-0.24292421,-0.354211147,-0.402925266,-0.417144771
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,0.2,2.166666667,11.125,114.5,248
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,-0.066666667,0,1,21.5,66.5
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,-0.066666667,0,0,0,0
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,-0.066666667,0,0,0,0
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,-0.066666667,0,0,0,0
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Solar|CSP,0.32558699,0.537044613,0.735574362,0.894091872,0.995826114,1.071536927
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Solar|CSP,0.206671555,0.355233709,0.472314529,0.602282726,0.699569089,0.782285064
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,0.144348744,0.268898859,0.337770856,0.39228006,0.427921368
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Solar|CSP,0,-0.001190059,-0.002581416,-0.001630637,-0.000231193,-0.002003765
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Solar|CSP,1.548980806,1.615994441,1.131819638,0.510768471,0.541599911,0.571082441
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Solar|PV,0.871794872,1.43083004,2.882629108,7.443661972,58.48275862,203.4166667
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Solar|PV,0.802197802,1.067193676,1.79342723,4.401408451,36.93103448,141.8333333
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Solar|PV,-0.003663004,-0.003952569,-0.004694836,0.056338028,1.655172414,11.58333333
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0.034482759,0.333333333
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Solar|PV,1.208791209,1.308300395,1.549295775,2.401408451,13.17241379,39.25
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Solar|PV,-0.000220888,-0.000448796,-0.000733685,0.090867618,0.358666857,0.673045729
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Solar|PV,-0.000140707,-0.000297779,-0.000471394,-0.000694953,0.140064499,0.405550293
