MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,-0.714285714,-0.52173913,-0.46031746,-0.424657534,-0.403278689,-0.394915254
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Nuclear,0.658119658,0.731707317,0.769230769,0.884615385,0.870165746,1.32941886
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Nuclear,0.324786325,0.353658537,0.416289593,0.458041958,0.508287293,0.530701754
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,0,-0.042682927,-0.058823529,-0.066433566,-0.074585635,-0.096491228
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,0,-0.097560976,-0.063348416,-0.045454545,-0.049723757,-0.061403509
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Nuclear,-0.034188034,-0.054878049,-0.07239819,-0.097902098,-0.121546961,-0.173245614
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Oil,-0.087174037,-0.254687636,-0.374603871,-0.504754041,-0.635457011,-0.657650906
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Oil,0.117535271,0.082403124,-0.003308311,-0.100093713,-0.207457266,-0.301995019
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0.152618791,0.164039543,0.165858979,0.171234303,0.2003978
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0.56219755,0.246736006,0.148756369,0.17371106,0.241852348
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Oil,0.081222653,0.089376324,0.107230871,0.125914141,0.149214157,0.188047235
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.007,0.034,0.115,0.31,0.71,1.425
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.002,0.01,0.041,0.128,0.346,0.804
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Solar|CSP,0,0,0.001,0.001,0.003,0.015
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.848303393,1.229064039,1.524193548,1.944444444,2.15936255,3.210450867
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.457085828,0.57635468,0.790322581,0.994444444,1.239043825,1.450867052
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Solar|CSP,0,-0.050492611,0,0.044444444,0.083665339,0.104046243
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Solar|CSP,0,-0.094827586,-0.064516129,-0.05,-0.051792829,-0.060693642
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.05988024,0.112068966,0.14516129,0.133333333,0.119521912,0.104046243
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|PV,5,32.25,91,67.29411765,38.32758621,19.93478261
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Solar|PV,3.75,22.75,65.2,50.70588235,31.06896552,17.01630435
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Solar|PV,0.75,4.25,13.6,11.94117647,9.103448276,6.298913043
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0.2,0.117647059,0.155172414,0.135869565
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Solar|PV,0.5,2.5,8,7,5.137931034,3.461956522
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0,-0.000000104,-0.000000104,-0.000000207
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0,-0.000000104,-0.000000104,-0.000000104
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0,0
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0,0
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Wind,0.466666667,1.517482517,2.643192488,3.21958457,3.129662522,2.855367232
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Wind,0.333333333,1.083916084,1.910798122,2.462908012,2.522202487,2.412429379
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Wind,0.771428571,1.132867133,1.403755869,1.504451039,1.403197158,1.274576271
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Wind,0.00952381,0.020979021,0.037558685,0.038575668,0.040852575,0.032768362
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Wind,0.114285714,0.188811189,0.272300469,0.323442136,0.330373002,0.320903955
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Wind,0.006940117,0.011205266,0.014904979,0.018729089,0.022325381,0.025101757
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Wind,0.006939992,0.010793296,0.013212645,0.015806852,0.018341469,0.021467279
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Wind,0,0,0.000393942,0.001811873,0.003757266,0.005866646
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Wind,0,0,0.0000205,0.0000403,0.0000244,0.0000203
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Wind,0.011792799,0.021376541,0.029189189,0.034350119,0.037519784,0.039157623
