MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Oil,0,0.317494254,0.438213991,0.480121237,0.511416457,0.614118962
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Oil,0,-0.492577822,-0.510805761,-0.557537654,-0.563798985,-0.535179065
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Oil,0.176808281,0.227056483,0.293932817,0.381865088,0.477763783,0.674698122
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,0
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Solar|CSP,0.333333333,3,12.125,33.1,93.2,224.3
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Solar|CSP,0,-0.142857143,-0.125,0.1,1.5,6.9
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Solar|CSP,0,0,0.125,0,0,0.1
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Solar|CSP,0,0,0.125,-0.1,0.4,3.1
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|CSP,2.354339516,3.242873558,4.160145602,5.07272734,5.687503799,6.137843983
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Solar|CSP,1.287562234,1.871335918,2.498836325,3.136154009,3.836490899,4.493082326
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Solar|CSP,0,0.779323494,1.245742109,1.601084902,1.92399256,2.213408018
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Solar|CSP,0,0.02037199,0.022076569,0.017056431,0.010664701,0.005294841
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Solar|CSP,0.79781975,1.017611115,1.089472587,1.208293956,1.290807818,1.345850632
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|PV,45,123.2272727,267.4285714,313.8064516,134.5,48.47014925
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Solar|PV,38.41666667,90,185.6666667,224.6451613,102.9166667,39.77114428
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Solar|PV,0.083333333,1,5.333333333,12.67741935,9.981481481,6.196517413
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Solar|PV,0,0,0.095238095,0.451612903,0.462962963,0.353233831
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Solar|PV,42.66666667,49.5,57.76190476,49.12903226,20.81481481,9.273631841
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|PV,1.653088929,2.832632625,3.753577015,4.503509824,4.62126494,4.633444085
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Solar|PV,0.829495989,1.643829995,2.256765313,2.918978281,3.684010269,4.361353763
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Solar|PV,0,0.735748609,1.155142523,1.491267995,1.82395439,2.139766442
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Solar|PV,0,0.018982623,0.020975696,0.016450258,0.010421669,0.00525098
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Solar|PV,0.990902367,1.727694324,1.87798846,1.892103443,1.861139183,1.584177656
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Wind,2.067708333,2.568988764,3.05267423,3.522461306,3.43921945,3.111767729
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Wind,1.954166667,2.244044944,2.540923825,2.853529634,2.753678823,2.523381295
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Wind,0.4390625,0.582022472,0.717990276,0.863344658,0.883557262,0.836073998
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Wind,0.041145833,0.046741573,0.051053485,0.057380143,0.053742802,0.054727646
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Wind,1.6875,1.56988764,1.459076175,1.322008305,0.967690339,0.770554985
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Wind,1.055313388,1.694200393,2.45767696,2.726963263,2.109920275,1.683213822
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Wind,1.004818192,0.911830908,1.612897694,2.013636742,2.494867103,2.655399704
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Wind,0,0.201998215,0.685901542,1.026468324,1.143972907,1.165872471
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Wind,0,0.015017143,0.018154908,0.000551246,0.006813373,0.002967866
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Wind,2.6928168,3.27324729,2.994706093,2.602967785,2.106666713,1.545198614
